Danish,English
en del,a part
en historie,a history
at søge,to search
kun,only
politiet,the police
en kvinde,a woman
en mand,a man
et barn,a child
et arbejde,a job/work
at elske,to love
at leve,to live
at spørge,to ask
at kunne,can
at ville,to want
at se,to see
et hus,a house
en bog,a book
penge,money
en ven,a friend
en familie,a family
en skole,a school
at studere,to study
en lærer,a teacher
en bil,a car
at købe,to buy
at sælge,to sell
at løbe,to run
at svømme,to swim
at spille,to play
at lave,to make
at spise,to eat
at drikke,to drink
en læsning,a reading
at skrive,to write
at forstå,to understand
at tænke,to think
at huske,to remember
at glemme,to forget
at tage,to take
at give,to give
at finde,to find
at hjælpe,to help
at åbne,to open
at lukke,to close
at vente,to wait
at bo,to live
at dø,to die
at føde,to be born
en arbejder,a worker
en chef,a boss
en kollega,a colleague
et møde,a meeting
en forretning,a business
en beslutning,a decision
en samtale,a conversation
en telefon,a telephone
en computer,a computer
internettet,the internet
en e-mail,an email
et brev,a letter
en avis,a newspaper
en artikel,an article
en nyhed,a news
en ferie,a holiday
at rejse,to travel
et fly,an airplane
et tog,a train
en bus,a bus
en cykel,a bicycle
et skib,a ship
et rejsekort,a travel card
et pas,a passport
et visum,a visa
en lufthavn,an airport
en station,a station
et hotel,a hotel
en restaurant,a restaurant
en café,a cafe
mad,food
en drik,a drink
vand,water
kaffe,coffee
te,tea
juice,juice
øl,beer
vin,wine
kød,meat
fisk,fish
brød,bread
ost,cheese
smør,butter
sukker,sugar
salt,salt
peber,pepper
frugt,fruit
grøntsager,vegetables
en salat,a salad
en kartoffel,a potato
ris,rice
pasta,pasta
en kage,a cake
en dessert,a dessert
is,ice cream
chokolade,chocolate
en suppe,a soup
en sandwich,a sandwich
en pizza,a pizza
en burger,a burger
en sovs,a sauce
en smag,a taste
en menu,a menu
en regning,a bill
at betale,to pay
et kort,a card
kontanter,cash
en butik,a shop
et supermarked,a supermarket
et marked,a market
et indkøb,shopping
tøj,clothes
sko,shoes
en jakke,a jacket
bukser,trousers
en skjorte,a shirt
en kjole,a dress
en hat,a hat
et ur,a watch
smykker,jewelry
ringe,rings
øreringe,earrings
en taske,a bag
en paraply,an umbrella
briller,glasses
solbriller,sunglasses
en læge,a doctor
en sygeplejerske,a nurse
et hospital,a hospital
en klinik,a clinic
medicin,medicine
en pille,a pill
syg,sick
sund,healthy
en kropsdel,a body part
et hoved,a head
en hånd,a hand
en fod,a foot
et ben,a leg
et øje,an eye
et øre,an ear
en næse,a nose
en mund,a mouth
en tand,a tooth
hår,hair
hud,skin
en mave,a stomach
en ryg,a back
et hjerte,a heart
blod,blood
en knogle,a bone
muskler,muscles
luft,air
vand,water
ild,fire
jord,earth
et træ,a tree
en blomst,a flower
en plante,a plant
et dyr,an animal
en fugl,a bird
en fisk,a fish
en kat,a cat
en hund,a dog
en ko,a cow
en hest,a horse
en gris,a pig
et får,a sheep
en ged,a goat
en abe,a monkey
en elefant,an elephant
en tiger,a tiger
en løve,a lion
en bjørn,a bear
en slange,a snake
insekter,insects
en sol,a sun
en måne,a moon
en stjerne,a star
vejret,the weather
solskin,sunshine
regn,rain
vind,wind
sne,snow
torden,thunder
lyn,lightning
temperaturen,the temperature
varmt,hot
koldt,cold
en dag,a day
en nat,a night
en morgen,a morning
en aften,an evening
en uge,a week
en måned,a month
et år,a year
tid,time
et ur,a clock
en kalender,a calendar
en dato,a date
en fest,a party
musik,music
en film,a movie
et teater,a theater
kunst,art
et billede,a picture
et maleri,a painting
en skulptur,a sculpture
et museum,a museum
en udstilling,an exhibition
en ballet,a ballet
en koncert,a concert
en opera,an opera
dans,dance
et tegn,a sign
et symbol,a symbol
et sprog,a language
et ord,a word
en sætning,a sentence
et bogstav,a letter
alfabetet,the alphabet